contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry_date,option_type,mid_price,expiry_dt,T,spread_pct
SPY260720C00680000,2026-07-15 14:52:14+00:00,680.0,73.71,73.33,76.13,2.8899994,4.080767,8.0,92.0,0.5305222729492188,True,REGULAR,USD,2026-07-20,call,74.72999999999999,2026-07-20,0.010958904109589041,0.037468218921450525
SPY260720C00690000,2026-07-15 14:39:21+00:00,690.0,64.08,63.34,66.14,1.0,1.5852885,36.0,8.0,0.4720511779785156,True,REGULAR,USD,2026-07-20,call,64.74000000000001,2026-07-20,0.010958904109589041,0.043249922767995004
SPY260720C00700000,2026-07-15 14:16:06+00:00,700.0,55.25,53.35,56.15,3.8899994,7.573986,2.0,5.0,0.41296973754882804,True,REGULAR,USD,2026-07-20,call,54.75,2026-07-20,0.010958904109589041,0.05114155251141547
SPY260720C00710000,2026-07-13 14:16:46+00:00,710.0,41.87,43.37,46.17,0.0,0.0,2.0,4.0,0.3537662280273437,True,REGULAR,USD,2026-07-20,call,44.769999999999996,2026-07-20,0.010958904109589041,0.06254188072369901
SPY260720C00722000,2026-07-14 13:50:09+00:00,722.0,29.52,31.42,34.22,0.0,0.0,12.0,13.0,0.2819896020507812,True,REGULAR,USD,2026-07-20,call,32.82,2026-07-20,0.010958904109589041,0.08531383302864098
SPY260720C00725000,2026-07-15 18:20:41+00:00,725.0,30.09,28.44,31.24,2.040001,7.272731,13.0,4.0,0.26380130737304686,True,REGULAR,USD,2026-07-20,call,29.84,2026-07-20,0.010958904109589041,0.09383378016085782
SPY260720C00726000,2026-07-14 15:06:02+00:00,726.0,27.16,27.45,30.25,0.0,0.0,4.0,2.0,0.2578809564208985,True,REGULAR,USD,2026-07-20,call,28.85,2026-07-20,0.010958904109589041,0.09705372616984403
SPY260720C00728000,2026-07-14 17:04:00+00:00,728.0,23.7,25.47,28.27,-1.1599998,-4.6661296,10.0,14.0,0.24585715087890625,True,REGULAR,USD,2026-07-20,call,26.869999999999997,2026-07-20,0.010958904109589041,0.10420543356903614
SPY260720C00730000,2026-07-15 13:31:47+00:00,730.0,25.0,23.5,26.3,2.1800003,9.553025,2.0,13.0,0.23413851806640623,True,REGULAR,USD,2026-07-20,call,24.9,2026-07-20,0.010958904109589041,0.11244979919678719
SPY260720C00732000,2026-07-14 13:55:09+00:00,732.0,19.92,21.53,24.33,0.0,0.0,2.0,4.0,0.22217574707031246,True,REGULAR,USD,2026-07-20,call,22.93,2026-07-20,0.010958904109589041,0.12211077191452234
SPY260720C00733000,2026-07-13 14:05:27+00:00,733.0,21.12,20.55,23.21,0.0,0.0,2.0,4.0,0.20972469970703123,True,REGULAR,USD,2026-07-20,call,21.880000000000003,2026-07-20,0.010958904109589041,0.12157221206581352
SPY260720C00735000,2026-07-15 19:39:19+00:00,735.0,19.38,18.6,21.26,1.2299995,6.776857,4.0,17.0,0.19849434326171872,True,REGULAR,USD,2026-07-20,call,19.93,2026-07-20,0.010958904109589041,0.13346713497240342
